win_x,win_y,row,col,top_left_lat,top_left_lon,bottom_right_lat,bottom_right_lon,commercial_value,commercial_rarity,fishing_value,fishing_rarity,oil_gas_value,oil_gas_rarity,passenger_value,passenger_rarity,leisure_value,leisure_rarity,global_value,global_rarity
684,20,437,269,48.419806087054155,-123.91717717653582,48.419806087054155,-123.91717717653582,12.651425980849584,38.993175996903936,30.034418781363946,96.57423441828165,13.884538443846694,42.37176042268004,37.97583065495185,47.11672472958952,52.52052834021988,61.31053807764321,78.08858623639918,67.91346308564151
559,683,772,67,-75.03034107454036,1.6726289878767773,-44.41293744126402,13.025310664356908,12.21014186726106,22.971641962284906,19.453842922889464,38.820498523694624,38.69426064309628,68.17011823740197,85.96499627062903,13.901169750845476,75.18682819729024,70.78186840820702,28.58658807436235,13.044052625875025
629,630,192,873,85.45939605188218,-86.75318978084007,85.45939605188218,-86.75318978084007,30.369489093940004,9.630330550022281,44.3062054328695,78.0304629329556,30.92778816532539,58.84691347229295,33.58467023138043,82.34514950864352,28.421531750365368,81.06955247117604,35.43382128343683,4.339898083339699
192,128,891,401,-81.12865336675947,-38.815242257154466,-13.210499035472196,100.22505638562023,90.76491013983336,57.11577598292013,50.43460496663599,80.9989398040178,41.68506729536519,65.21096151384586,12.251640228727966,91.74788726638361,49.8442989364411,40.16355674273462,50.61337194734732,49.04982949442525
835,484,154,261,78.0220604067693,84.08536116141829,78.0220604067693,84.08536116141829,67.46038509929627,21.733853020286965,89.92269707006962,62.10317248232896,90.5998994932563,31.14353886070288,53.135500783721255,34.04901716484472,27.146922342275705,41.22538218631232,88.98268411460155,41.058795055834594
763,365,468,26,-44.486302005312986,157.27061720136805,34.706477289632346,157.27061720136805,22.193415638011004,37.715051619115414,77.07543804378597,81.1871264065675,42.5947761221862,50.4986853195921,60.744755790250025,2.2069593941304033,27.29302987805452,55.69884421257044,59.058578400205164,27.779174251810723
707,105,389,703,46.40833938436029,98.59066746815677,46.40833938436029,98.59066746815677,60.34875606219187,1.7530338462825257,71.53450506039616,59.07448297694615,91.27443126236228,7.644866066198053,11.831354947073924,80.57059671006643,70.92597825622119,79.90447195417467,70.35062397657475,65.4447896255745
359,706,378,411,-89.9867341020409,-33.97179793562506,70.30893178413083,72.83618806332981,66.0239833811912,24.904205880259834,57.266975815730014,60.234740664107434,80.54008597007135,23.198686894714616,76.63105859832143,32.510117919047346,20.2859707757028,57.460262942337515,73.27486251432258,12.564329844114718
9,225,856,749,-44.23678394767205,33.49193015835499,61.48107816419872,66.46116828348437,52.30546799078449,65.10028102936444,32.85802025685609,14.067727955521613,28.837833206850426,39.973933517692814,50.790290438057404,54.773990479399025,13.655553116663999,15.534106853462504,19.830734503070737,5.638699064469311
723,652,273,937,44.838109196949574,88.73921371525341,44.838109196949574,88.73921371525341,75.93824605373287,12.313781425888948,7.007694030832024,89.0464061784756,31.808901905133226,15.672587178064513,58.713767126857675,78.46377309508252,7.634447504689945,14.216233201626583,20.184996328575977,88.41448163437379
277,783,964,525,5.820492761518011,-30.88042196547906,53.75137439240902,124.46626829692661,2.4738988659156913,66.13553841992169,25.88076050071827,15.400389005191972,36.984422460142554,15.94877821397198,3.8402721121063688,47.679831977223856,88.35013689632524,7.721587636009241,6.108839767941509,10.904042873161579
754,118,312,813,-69.30861306531932,-50.310662827571605,83.01067953897521,29.69048649685567,19.11172271039535,86.04208332925896,19.468725902415752,50.536578476643236,60.564719162010206,17.82747419358578,21.57901484224872,29.239836456095226,84.95977678805312,0.2930881860015111,76.76539796218162,12.084862988749467
804,545,160,432,-19.146645749290457,-131.3124134558892,-1.42746855211918,28.119747880736014,96.63717444251193,86.93689269415395,22.789727877967046,31.834143156516802,67.40625171413107,55.15196778665552,44.04688517663523,85.6626745192273,84.10396730737516,75.08821271104583,86.26248370984203,4.624636142520222
